OPERADOR,DEPARTAMENTO,MUNICIPIO,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA ACTIVACIÓN
UNE,Antioquia,Marinilla,PARQUE PRINCIPAL,544006001,CALLE 31 CON CARRERA 30 (PARQUE PRINCIPAL),-75334697,6173663,06/02/2017 12:00:00 AM
ETB,Antioquia,Medellín,UNIDAD DEPORTIVA LA FLORESTA CALLE 47 N° 87B - 80,500101000,UNIDAD DEPORTIVA LA FLORESTA CALLE 47 N° 87B - 80,-75604944,6256,02/16/2017 12:00:00 AM
UNE,Antioquia,Medellín,PARQUE LINEAL LA PRESIDENTA (SECTOR POBLADO),500106001,CR. 43A CON CLL 7D (PARQUE LA PRESIDENTA),-75570033,6207797,06/02/2017 12:00:00 AM
UNE,Antioquia,Medellín,PARQUE OBRERO (BARRIO BOSTON),500106002,CALLE 59A # 39-1 (PARQUE OBRERO),-7555638,6251363,06/02/2017 12:00:00 AM
UNE,Antioquia,Medellín,CIUDAD DEL RIO (BARRIO EL POBLADO),500106003,CALLE 19 # 43G - 155 (PARQUE CIUDAD DEL RIO),-755731,622222,06/02/2017 12:00:00 AM
UNE,Antioquia,Medellín,PARQUE DE RUEDA 4SUR,500106004,PARQUE DE RUEDA 4SUR,-75580277,6203708,06/02/2017 12:00:00 AM
UNE,Antioquia,Montebello,PARQUE PRINCIPAL,546706001,CALLE 20 CON CARRERA 20,-75524455,5945891,06/02/2017 12:00:00 AM
UNE,Antioquia,Murindó,PARQUE PRINCIPAL,547506001,CALLE 47 CON 44,-7681882,6977655,06/02/2017 12:00:00 AM
UNE,Antioquia,Mutatá,PARQUE PRINCIPAL,548006001,CL. 9 #4-1 (PARQUE PRINCIPAL MUTATÁ),-76437072,7245304,06/02/2017 12:00:00 AM
UNE,Antioquia,Nariño,PARQUE PRINCIPAL,548306001,PARQUE MUNICIPIO DE NARIÑO,-75177744,5608467,06/02/2017 12:00:00 AM
UNE,Antioquia,Nechí,PARQUE PRINCIPAL,549506001,CARRERA 30 CON CALLE 30,-74774075,8094941,06/02/2017 12:00:00 AM
UNE,Antioquia,Necoclí,PARQUE PRINCIPAL,549006001,CARRERA 50 CON CALLE 50,-76786802,8424222,06/02/2017 12:00:00 AM
UNE,Antioquia,Olaya,PARQUE PRINCIPAL,550106001,PARQUE PRINCIPAL OLAYA,-75812352,6628147,06/02/2017 12:00:00 AM
UNE,Antioquia,Peñol,PARQUE PRINCIPAL,554106001,TRANSVERSAL 4 CRA 17,-7524332,621679,06/02/2017 12:00:00 AM
UNE,Antioquia,Peque,PARQUE PRINCIPAL,554306001,CALLE 10 CON CARRERA 10,-7590897,7021845,06/02/2017 12:00:00 AM
UNE,Antioquia,Peque,PARQUE BARRIO LA MIRANDA,554306002,CALLE 9 NO. 13-23,-75913174,7021849,06/02/2017 12:00:00 AM
UNE,Antioquia,Pueblorrico,PARQUE PRINCIPAL,557606001,CRA. 30 #30-1 (PARQUE PRINCIPAL),-75841708,5790991,06/02/2017 12:00:00 AM
UNE,Antioquia,Puerto Berrío,PARQUE PRINCIPAL,557906001,CRA. 5, (PARQUE PRINCIPAL PUERTO BERRIO),-74401864,6489555,06/02/2017 12:00:00 AM
UNE,Antioquia,Puerto Nare,PARQUE PRINCIPAL,558506001,PARQUE PRINCIPAL DE PUERTO NARE,-74581652,6187869,06/02/2017 12:00:00 AM
UNE,Antioquia,Puerto Triunfo,PARQUE PRINCIPAL,559106001,CLL 11 CON CARRERA 10 (PARQUE PRINCIPAL),-74640555,5868611,06/02/2017 12:00:00 AM
UNE,Antioquia,Remedios,PARQUE PRINCIPAL,560406001,PARQUE PRINCIPAL REMEDIOS,-74693658,7028019,06/02/2017 12:00:00 AM
UNE,Antioquia,Retiro,PARQUE PRINCIPAL,560706001,CL. 20 #20-11 (PARQUE PRINCIPAL),-75502667,6057397,06/02/2017 12:00:00 AM
UNE,Antioquia,Rionegro,PARQUE SAN FRANCISCO - PLAZOLETA DE LOS MÁRTIRES,561506001,CALLE 51 CON CR 48,-75372222,6154433,06/02/2017 12:00:00 AM
UNE,Antioquia,Rionegro,Lago Santander,561507006,Lago Santander,-75371148,6159512,05/19/2018 12:00:00 AM
UNE,Antioquia,Rionegro,Parque de la Libertad ,561507001,Cra 50 N° 49-1 ,-75374085,6153517,05/19/2018 12:00:00 AM
UNE,Antioquia,Rionegro,Parque San Antonio de Pereira ,561507002,Cra 55A con Calle 24 y Cra 55B con Calle 23,-7538017,6130073,05/19/2018 12:00:00 AM
UNE,Antioquia,Rionegro,Zona Deportiva (Skate Park) ,561507003,Calle 53 A con Calle 50 - Coliseo Juan de Dios Morales,-75373553,6147449,05/19/2018 12:00:00 AM
UNE,Antioquia,Rionegro,Plazoleta La Galería ,561507004,Calle 55 con Carrera 45,-75369978,6156504,05/19/2018 12:00:00 AM
UNE,Antioquia,Rionegro,Zona Deportiva Barrio el Porvenir,561507005,Calle 40,-75386653,614607,05/19/2018 12:00:00 AM
UNE,Antioquia,Sabanalarga,PARQUE PRINCIPAL,562806001,CARRERA 20 CON CALLE 20,-75818211,6850431,06/02/2017 12:00:00 AM
UNE,Antioquia,Sabaneta,PARQUE 77 SUR (SECTOR ESTACIÓN METRO LA ESTRELLA),563106001,CLL 77 SUR # 46D,-75622555,6149666,06/02/2017 12:00:00 AM
UNE,Antioquia,Salgar,PARQUE PRINCIPAL,564206001,CARRERA 30 CON CALLE 30,-75978975,5963305,06/02/2017 12:00:00 AM
UNE,Antioquia,San Andrés de Cuerquía,PARQUE PRINCIPAL,564706001,CALLE 30 #30 (PARQUE PRINCIPAL SAN ANDRES DE CUERQUIA),-75676188,6914969,06/02/2017 12:00:00 AM
UNE,Antioquia,San Carlos,PARQUE PRINCIPAL,564906001,CL. 20 #19-40,-74992158,6188733,06/02/2017 12:00:00 AM
UNE,Antioquia,San Francisco,PARQUE PRINCIPAL,565206001,CALLE 11 CON CARRERA 11,-75102144,5965124,06/02/2017 12:00:00 AM
UNE,Antioquia,San Jerónimo,PLACA POLIDEPORTIVA SECTOR LLANO DE AGUIRRE,565606001,VIA VIEJA A SANTA FE, DESPUES DE PARCELACION EL HATO,-75739722,6459444,06/02/2017 12:00:00 AM
UNE,Antioquia,San Jerónimo,PARQUE PRINCIPAL,565606002,CARRERA 10 CON CALLE 10,-75727969,6442666,06/02/2017 12:00:00 AM
UNE,Antioquia,San José de La Montaña,PARQUE PRINCIPAL,565806001,CALLE 20A (PARQUE PRINCIPAL),-75682555,6851111,06/02/2017 12:00:00 AM
UNE,Antioquia,San Juan de Urabá,PARQUE PRINCIPAL,565906001,CARRERA 21 CON CALLE #21,-76528325,8760913,06/02/2017 12:00:00 AM
UNE,Antioquia,San Luis,PARQUE PRINCIPAL,566006001,CRA. 20 #20-2 (PARQUE PRINCIPAL,-74994555,6042699,06/02/2017 12:00:00 AM
UNE,Antioquia,San Pedro,PARQUE PRINCIPAL,566406001,CL. 49 #49-115,-75555897,6461702,06/02/2017 12:00:00 AM
